data,nr_noroc
1998-01-04,8334662
1998-01-11,8199556
1998-01-18,1607018
1998-01-25,2165839
1998-02-01,3563811
1998-02-08,3710284
1998-02-15,8460026
1998-02-22,8687864
1998-03-01,2622660
1998-03-08,3172003
1998-03-15,1679769
1998-03-22,2818245
1998-03-29,2611751
1998-04-05,0565457
1998-04-12,2377286
1998-04-21,0659490
1998-04-26,9271495
1998-05-03,7421839
1998-05-10,9163513
1998-05-17,7706144
1998-05-24,7468776
1998-05-31,7613465
1998-06-07,2855352
1998-06-14,0565459
1998-06-21,0817152
1998-06-28,6433086
1998-07-05,4308259
1998-07-12,9220042
1998-07-19,7255934
1998-07-26,1179041
1998-08-02,0963646
1998-08-09,6251878
1998-08-16,5220110
1998-08-23,5847168
1998-08-30,4443340
1998-09-06,4024338
1998-09-13,3229323
1998-09-20,0259631
1998-09-27,1362999
1998-10-04,4964718
1998-10-11,0120860
1998-10-18,1459410
1998-10-25,7007291
1998-11-01,4422997
1998-11-08,2939757
1998-11-15,8799343
1998-11-22,8489595
1998-11-29,3907585
1998-12-06,6317343
1998-12-13,3407070
1999-01-03,8127341
1999-01-10,2796653
1999-01-17,1945011
1999-01-24,1622786
1999-01-31,6047117
1999-02-07,2107654
1999-02-14,2821748
1999-02-21,0787215
1999-02-28,5103363
1999-03-07,0313250
1999-03-14,9456143
1999-03-21,2704856
1999-03-28,7221964
1999-04-04,0553084
1999-04-13,5270762
1999-04-18,3457882
1999-04-25,1376880
1999-05-02,1553922
1999-05-09,2229272
1999-05-16,7087078
1999-05-23,1018874
1999-05-30,1341801
1999-06-06,2064250
1999-06-13,9995992
1999-06-20,5206364
1999-06-27,8385494
1999-07-04,9478775
1999-07-11,4460824
1999-07-18,2047869
1999-07-25,6718528
1999-08-01,6679845
1999-08-08,4323540
1999-08-15,1541591
1999-08-22,7186024
1999-08-29,3296777
1999-09-05,1753743
1999-09-12,2316250
1999-09-19,3828690
1999-09-26,2225545
1999-10-03,3174297
1999-10-10,6799648
1999-10-17,7875681
1999-10-24,2660682
1999-10-31,1168751
1999-11-07,4094111
1999-11-14,6708763
1999-11-21,7597641
1999-11-28,3320759
1999-12-05,8523985
1999-12-12,1656149
1999-12-19,8841787
2000-01-02,0090750
2000-01-09,6582103
2000-01-16,0039453
2000-01-23,7956577
2000-01-30,3387840
2000-02-06,4607802
2000-02-13,4368433
2000-02-20,4934763
2000-02-27,2032772
2000-03-05,5549336
2000-03-12,4914612
2000-03-19,0911053
2000-03-26,9621747
2000-04-02,6941801
2000-04-09,0602213
2000-04-16,0299010
2000-04-23,5944560
2000-04-30,8517448
2000-05-07,7679404
2000-05-14,5517671
2000-05-21,3941108
