Data extragerii->	Nr. Super Noroc
2011-04-07	251608
2011-04-10	926208
2011-04-14	113588
2011-04-17	891488
2011-04-21	331364
2011-04-24	741612
2011-04-28	587999
2011-05-01	744528
2011-05-05	050726
2011-05-08	431438
2011-05-12	753890
2011-05-15	532880
2011-05-19	728265
2011-05-22	873093
2011-05-26	811164
2011-05-29	773261
2011-06-02	671279
2011-06-05	151036
2011-06-09	279539
2011-06-12	681432
2011-06-16	368445
2011-06-19	900763
2011-06-23	477727
2011-06-26	133494
2011-06-30	518635
2011-07-03	568026
2011-07-07	547937
2011-07-10	345832
2011-07-14	659107
2011-07-17	097009
2011-07-21	273007
2011-07-24	983287
2011-07-28	104364
2011-07-31	097243
2011-08-04	409026
2011-08-07	821439
2011-08-11	900955
2011-08-14	357473
2011-08-18	424156
2011-08-21	569620
2011-08-25	109799
2011-08-28	597555
2011-09-01	782394
2011-09-04	069874
2011-09-08	747965
2011-09-11	282883
2011-09-15	838995
2011-09-18	733455
2011-09-22	633018
2011-09-25	920014
2011-09-29	125487
2011-10-02	439234
2011-10-06	841794
2011-10-09	697383
2011-10-13	712455
2011-10-16	646328
2011-10-20	217995
2011-10-23	029359
2011-10-27	022158
2011-10-30	188812
2011-11-03	835982
2011-11-06	244346
2011-11-10	574490
2011-11-13	514625
2011-11-17	631442
2011-11-20	653716
2011-11-24	959095
2011-11-27	377906
2011-12-01	017751
2011-12-04	186765
2011-12-08	473210
2011-12-11	029329
2011-12-15	499779
2011-12-18	101903
2011-12-22	706044
2011-12-30	133973
2012-01-05	948427
2012-01-08	878570
2012-01-12	489623
2012-01-15	819072
2012-01-19	139261
2012-01-22	578919
2012-01-26	994574
2012-01-29	708568
2012-02-02	223196
2012-02-05	114276
2012-02-09	074063
2012-02-12	146524
2012-02-16	067580
2012-02-19	884781
2012-02-23	870677
2012-02-26	641723
2012-03-01	479155
2012-03-04	676407
2012-03-08	082267
2012-03-11	688794
2012-03-15	543316
2012-03-18	265771
2012-03-22	827613
2012-03-25	800101
2012-03-29	673981
2012-04-01	635488
2012-04-05	506146
2012-04-08	643189
2012-04-15	492202
2012-04-19	573516
2012-04-22	916506
2012-04-26	280386
2012-04-29	713371
2012-05-03	907485
2012-05-06	629689
2012-05-10	028251
2012-05-13	401025
2012-05-17	046675
2012-05-20	807908
2012-05-24	115599
2012-05-27	304153
2012-05-31	225023
2012-06-03	588676
2012-06-07	865907
2012-06-10	328536
2012-06-14	880413
2012-06-17	533982
2012-06-21	183683
2012-06-24	129426
2012-06-28	660140
2012-07-01	185735
2012-07-05	239073
2012-07-08	128801
2012-07-12	804832
2012-07-15	431374
2012-07-19	382925
2012-07-22	961936
2012-07-26	170090
2012-07-29	237310
2012-08-02	254107
2012-08-05	917211
2012-08-09	594127
2012-08-12	362621
2012-08-16	681849
2012-08-19	375673
2012-08-23	375673
2012-08-26	704408
2012-08-30	117430
2012-09-02	029197
2012-09-06	984711
2012-09-09	743402
2012-09-16	389198
2012-09-20	585024
2012-09-23	632786
2012-09-27	739622
2012-09-30	540780
2012-10-04	402534
2012-10-07	989571
2012-10-11	182080
2012-10-14	122506
2012-10-18	511388
2012-10-21	599889
2012-10-25	150820
2012-10-28	465982
2012-11-01	075961
2012-11-04	426814
2012-11-08	378188
2012-11-11	182179
2012-11-15	175589
2012-11-18	941196
2012-11-22	411071
2012-11-25	132987
2012-11-29	798963
2012-12-02	674321
2012-12-06	910576
2012-12-09	208105
2012-12-13	781406
2012-12-16	176670
2012-12-20	732246
2012-12-23	501898
2012-12-30	237464
2013-01-06	053720
2013-01-10	292344
2013-01-13	703216
2013-01-17	462091
2013-01-20	668094
2013-01-24	732556
2013-01-27	080373
2013-01-31	292530
2013-02-03	365770
2013-02-07	135585
2013-02-10	741073
2013-02-14	916457
2013-02-17	859252
2013-02-21	111651
2013-02-24	023081
2013-02-28	332103
2013-03-03	349015
