data,nr_noroc_plus
2011-04-07,0251608
2011-04-10,0926208
2011-04-14,0113588
2011-04-17,0891488
2011-04-21,0331364
2011-04-24,0741612
2011-04-28,0587999
2011-05-01,0744528
2011-05-05,0050726
2011-05-08,0431438
2011-05-12,0753890
2011-05-15,0532880
2011-05-19,0728265
2011-05-22,0873093
2011-05-26,0811164
2011-05-29,0773261
2011-06-02,0671279
2011-06-05,0151036
2011-06-09,0279539
2011-06-12,0681432
2011-06-16,0368445
2011-06-19,0900763
2011-06-23,0477727
2011-06-26,0133494
2011-06-30,0518635
2011-07-03,0568026
2011-07-07,0547937
2011-07-10,0345832
2011-07-14,0659107
2011-07-17,0097009
2011-07-21,0273007
2011-07-24,0983287
2011-07-28,0104364
2011-07-31,0097243
2011-08-04,0409026
2011-08-07,0821439
2011-08-11,0900955
2011-08-14,0357473
2011-08-18,0424156
2011-08-21,0569620
2011-08-25,0109799
2011-08-28,0597555
2011-09-01,0782394
2011-09-04,0069874
2011-09-08,0747965
2011-09-11,0282883
2011-09-15,0838995
2011-09-18,0733455
2011-09-22,0633018
2011-09-25,0920014
2011-09-29,0125487
2011-10-02,0439234
2011-10-06,0841794
2011-10-09,0697383
2011-10-13,0712455
2011-10-16,0646328
2011-10-20,0217995
2011-10-23,0029359
2011-10-27,0022158
2011-10-30,0188812
2011-11-03,0835982
2011-11-06,0244346
2011-11-10,0574490
2011-11-13,0514625
2011-11-17,0631442
2011-11-20,0653716
2011-11-24,0959095
2011-11-27,0377906
2011-12-01,0017751
2011-12-04,0186765
2011-12-08,0473210
2011-12-11,0029329
2011-12-15,0499779
2011-12-18,0101903
2011-12-22,0706044
2011-12-30,0133973
2012-01-05,0948427
2012-01-08,0878570
2012-01-12,0489623
2012-01-15,0819072
2012-01-19,0139261
2012-01-22,0578919
2012-01-26,0994574
2012-01-29,0708568
2012-02-02,0223196
2012-02-05,0114276
2012-02-09,0074063
2012-02-12,0146524
2012-02-16,0067580
2012-02-19,0884781
2012-02-23,0870677
2012-02-26,0641723
2012-03-01,0479155
2012-03-04,0676407
2012-03-08,0082267
2012-03-11,0688794
2012-03-15,0543316
2012-03-18,0265771
2012-03-22,0827613
2012-03-25,0800101
2012-03-29,0673981
2012-04-01,0635488
2012-04-05,0506146
2012-04-08,0643189
2012-04-15,0492202
2012-04-19,0573516
2012-04-22,0916506
2012-04-26,0280386
2012-04-29,0713371
2012-05-03,0907485
2012-05-06,0629689
2012-05-10,0028251
2012-05-13,0401025
2012-05-17,0046675
2012-05-20,0807908
2012-05-24,0115599
2012-05-27,0304153
2012-05-31,0225023
2012-06-03,0588676
2012-06-07,0865907
2012-06-10,0328536
2012-06-14,0880413
2012-06-17,0533982
2012-06-21,0183683
2012-06-24,0129426
2012-06-28,0660140
2012-07-01,0185735
2012-07-05,0239073
2012-07-08,0128801
2012-07-12,0804832
2012-07-15,0431374
2012-07-19,0382925
2012-07-22,0961936
2012-07-26,0170090
2012-07-29,0237310
2012-08-02,0254107
2012-08-05,0917211
2012-08-09,0594127
2012-08-12,0362621
2012-08-16,0681849
2012-08-19,0375673
2012-08-23,0375673
2012-08-26,0704408
2012-08-30,0117430
2012-09-02,0029197
2012-09-06,0984711
2012-09-09,0743402
2012-09-16,0389198
2012-09-20,0585024
2012-09-23,0632786
2012-09-27,0739622
2012-09-30,0540780
2012-10-04,0402534
2012-10-07,0989571
2012-10-11,0182080
2012-10-14,0122506
2012-10-18,0511388
2012-10-21,0599889
2012-10-25,0150820
2012-10-28,0465982
2012-11-01,0075961
2012-11-04,0426814
2012-11-08,0378188
2012-11-11,0182179
2012-11-15,0175589
2012-11-18,0941196
2012-11-22,0411071
2012-11-25,0132987
2012-11-29,0798963
2012-12-02,0674321
2012-12-06,0910576
2012-12-09,0208105
2012-12-13,0781406
2012-12-16,0176670
2012-12-20,0732246
2012-12-23,0501898
2012-12-30,0237464
2013-01-06,0053720
2013-01-10,0292344
2013-01-13,0703216
2013-01-17,0462091
2013-01-20,0668094
2013-01-24,0732556
2013-01-27,0080373
2013-01-31,0292530
2013-02-03,0365770
2013-02-07,0135585
2013-02-10,0741073
2013-02-14,0916457
2013-02-17,0859252
2013-02-21,0111651
2013-02-24,0023081
2013-02-28,0332103
2013-03-03,0349015
2013-03-07,0230349
2013-03-10,0597011
2013-03-14,0971558
2013-03-17,0816174
2013-03-21,0998775
2013-03-24,0573280
2013-03-28,0148302
2013-03-31,0748710
2013-04-04,0802094
2013-04-07,0253533
2013-04-11,0051347
2013-04-14,0598222
2013-04-18,0854877
2013-04-21,0975233
2013-04-25,0475985
2013-04-28,0024891
2013-05-05,0515227
2013-05-09,0451170
2013-05-12,0119703
2013-05-16,0836544
2013-05-19,0205073
2013-05-23,0942786
2013-05-26,0049733
2013-05-30,0731984
2013-06-02,0554024
2013-06-06,0970056
2013-06-09,0462652
2013-06-13,0396969
2013-06-16,0260233
2013-06-20,0162680
2013-06-23,0934655
2013-06-27,0287605
2013-06-30,0867535
2013-07-04,0504660
2013-07-07,0627425
2013-07-11,0682092
2013-07-14,0805737
2013-07-18,0285760
2013-07-21,0106121
2013-07-25,0200521
2013-07-28,0216292
2013-08-01,0408130
2013-08-04,0587438
2013-08-08,0860202
2013-08-11,0009931
2013-08-15,0406992
2013-08-18,0914479
2013-08-22,0464844
2013-08-25,0213025
2013-08-29,0622030
2013-09-01,0192968
2013-09-05,0810463
2013-09-08,0510152
2013-09-15,0064802
2013-09-19,0036260
2013-09-22,0832040
2013-09-26,0850115
2013-09-29,0370809
2013-10-03,0969729
2013-10-06,0329851
2013-10-10,0420510
2013-10-13,0349279
2013-10-17,0602957
2013-10-20,0392116
2013-10-24,0070788
2013-10-27,0398604
2013-10-31,0965034
2013-11-03,0742208
2013-11-07,0995008
2013-11-10,0289911
2013-11-14,0290854
2013-11-17,0020174
2013-11-21,0435878
2013-11-24,0773641
2013-11-28,0501272
2013-12-01,0917649
2013-12-05,0771476
2013-12-08,0201893
2013-12-12,0824903
2013-12-15,0027696
2013-12-19,0059662
2013-12-22,0354627
2013-12-30,0267486
2014-01-05,0010671
2014-01-09,0075050
2014-01-12,0697570
