data,nr_super_noroc
2011-04-07,662610
2011-04-10,555772
2011-04-14,034000
2011-04-17,213312
2011-04-21,169224
2011-04-24,439305
2011-04-28,836406
2011-05-01,770382
2011-05-05,502036
2011-05-08,346622
2011-05-12,446613
2011-05-15,134756
2011-05-19,995428
2011-05-22,442440
2011-05-26,446843
2011-05-29,898521
2011-06-02,017049
2011-06-05,929278
2011-06-09,395337
2011-06-12,810745
2011-06-16,497199
2011-06-19,705429
2011-06-23,457972
2011-06-26,704057
2011-06-30,514451
2011-07-03,896177
2011-07-07,114696
2011-07-10,127143
2011-07-14,079762
2011-07-17,530674
2011-07-21,362961
2011-07-24,706309
2011-07-28,571979
2011-07-31,220374
2011-08-04,521657
2011-08-07,398784
2011-08-11,777950
2011-08-14,740509
2011-08-18,210352
2011-08-21,180972
2011-08-25,149278
2011-08-28,588779
2011-09-01,164083
2011-09-04,171916
2011-09-08,550445
2011-09-11,452160
2011-09-15,662782
2011-09-18,255149
2011-09-22,944007
2011-09-25,442052
2011-09-29,269606
2011-10-02,943334
2011-10-06,226234
2011-10-09,162646
2011-10-13,781554
2011-10-16,646976
2011-10-20,728533
2011-10-23,981973
2011-10-27,919066
2011-10-30,541511
2011-11-03,432998
2011-11-06,979219
2011-11-10,808855
2011-11-13,899938
2011-11-17,316863
2011-11-20,434611
2011-11-24,057154
2011-11-27,334280
2011-12-01,690154
2011-12-04,266737
2011-12-08,070365
2011-12-11,752636
2011-12-15,717077
2011-12-18,879103
2011-12-22,955750
2011-12-30,024855
2012-01-05,450095
2012-01-08,361846
2012-01-12,159746
2012-01-15,400363
2012-01-19,904508
2012-01-22,379549
2012-01-26,812384
2012-01-29,156733
2012-02-02,922494
2012-02-05,801733
2012-02-09,401994
2012-02-12,868737
2012-02-16,918565
2012-02-19,520686
2012-02-23,640027
2012-02-26,996956
2012-03-01,451242
2012-03-04,559284
2012-03-08,866846
2012-03-11,198999
2012-03-15,240656
2012-03-18,382864
2012-03-22,842603
2012-03-25,435960
2012-03-29,125068
2012-04-01,053832
2012-04-05,702475
2012-04-08,008476
2012-04-15,020049
2012-04-19,774678
2012-04-22,500613
2012-04-26,272435
2012-04-29,546432
2012-05-03,118272
2012-05-06,330878
2012-05-10,555370
2012-05-13,160275
2012-05-17,157092
2012-05-20,496882
2012-05-24,850371
2012-05-27,345544
2012-05-31,496169
2012-06-03,031848
2012-06-07,256062
2012-06-10,413091
2012-06-14,287906
2012-06-17,784303
2012-06-21,863397
2012-06-24,315143
2012-06-28,768125
2012-07-01,877668
2012-07-05,507368
2012-07-08,593635
2012-07-12,738301
2012-07-15,420357
2012-07-19,789022
2012-07-22,586480
2012-07-26,827717
2012-07-29,508039
2012-08-02,428508
2012-08-05,479359
2012-08-09,696348
2012-08-12,477013
2012-08-16,770408
2012-08-19,806233
2012-08-23,137782
2012-08-26,391497
2012-08-30,103013
2012-09-02,530875
2012-09-06,780150
2012-09-09,023967
2012-09-16,282224
2012-09-20,603356
2012-09-23,749392
2012-09-27,534045
2012-09-30,342242
2012-10-04,672918
2012-10-07,893682
2012-10-11,288031
2012-10-14,722556
2012-10-18,448369
2012-10-21,589908
2012-10-25,313655
2012-10-28,155126
2012-11-01,708607
2012-11-04,222769
2012-11-08,779624
2012-11-11,721413
2012-11-15,416980
2012-11-18,168760
2012-11-22,828791
2012-11-25,470053
2012-11-29,301351
2012-12-02,766639
2012-12-06,602975
2012-12-09,817370
2012-12-13,540591
2012-12-16,408169
2012-12-20,548572
2012-12-23,889487
2012-12-30,654060
2013-01-06,243326
2013-01-10,309170
2013-01-13,056587
2013-01-17,027752
2013-01-20,286851
2013-01-24,464639
2013-01-27,713902
2013-01-31,930886
2013-02-03,345239
2013-02-07,960240
2013-02-10,799741
2013-02-14,623278
2013-02-17,692117
2013-02-21,058495
2013-02-24,174587
2013-02-28,253300
2013-03-03,913410
2013-03-07,810299
2013-03-10,145102
2013-03-14,133514
2013-03-17,061722
2013-03-21,464959
2013-03-24,242197
2013-03-28,870771
2013-03-31,451127
2013-04-04,592957
2013-04-07,437435
2013-04-11,549657
2013-04-14,584002
2013-04-18,467653
2013-04-21,210851
2013-04-25,559836
2013-04-28,597780
2013-05-05,979396
2013-05-09,934153
2013-05-12,583451
2013-05-16,095350
2013-05-19,560120
2013-05-23,481145
2013-05-26,373242
2013-05-30,358823
2013-06-02,370977
2013-06-06,014356
2013-06-09,364257
2013-06-13,426514
2013-06-16,382216
2013-06-20,810251
2013-06-23,981561
2013-06-27,433297
2013-06-30,417186
2013-07-04,413525
2013-07-07,125812
2013-07-11,210135
2013-07-14,418731
2013-07-18,580730
2013-07-21,240245
2013-07-25,924020
2013-07-28,382613
2013-08-01,452826
2013-08-04,758503
2013-08-08,687574
2013-08-11,143516
2013-08-15,664706
2013-08-18,731790
2013-08-22,443571
2013-08-25,283960
2013-08-29,085038
2013-09-01,372269
2013-09-05,194128
2013-09-08,765852
2013-09-15,194211
2013-09-19,823516
2013-09-22,036768
2013-09-26,151496
2013-09-29,398543
2013-10-03,645153
2013-10-06,293642
2013-10-10,239579
2013-10-13,322451
2013-10-17,840046
2013-10-20,871560
2013-10-24,031610
2013-10-27,311527
2013-10-31,191396
2013-11-03,807052
2013-11-07,997456
2013-11-10,647922
2013-11-14,695536
2013-11-17,569771
2013-11-21,349070
2013-11-24,357777
2013-11-28,715737
2013-12-01,076969
2013-12-05,386734
2013-12-08,200284
2013-12-12,009356
2013-12-15,874663
2013-12-19,835157
2013-12-22,821014
2013-12-30,646087
2014-01-05,061531
2014-01-09,652076
2014-01-12,329859
2014-01-16,791377
2014-01-19,037702
2014-01-23,037702
2014-01-26,596722
2014-01-30,871994
2014-02-02,444776
2014-02-06,107781
2014-02-09,585495
2014-02-13,659660
2014-02-16,569083
2014-02-20,093696
2014-02-23,407493
2014-02-27,932915
2014-03-02,566985
2014-03-06,109819
2014-03-09,834411
2014-03-13,366341
2014-03-16,468270
2014-03-20,880151
2014-03-23,256057
2014-03-27,300942
2014-03-30,523323
2014-04-03,407465
2014-04-06,066039
2014-04-10,145844
2014-04-13,657322
2014-04-20,162206
2014-04-24,601731
2014-04-27,111877
2014-05-01,703535
2014-05-04,535709
2014-05-08,219833
2014-05-11,145471
2014-05-15,453093
2014-05-18,087215
2014-05-22,622723
2014-05-25,176387
2014-05-29,678286
2014-06-01,089351
2014-06-05,989686
2014-06-08,295795
2014-06-12,398677
2014-06-15,902140
2014-06-19,255035
2014-06-22,726573
2014-06-26,538545
2014-06-29,607229
2014-07-03,976340
2014-07-06,609346
2014-07-10,828719
2014-07-13,912593
2014-07-17,052154
2014-07-20,056737
2014-07-24,670289
2014-07-27,216864
2014-07-31,672297
2014-08-03,642335
2014-08-07,940383
2014-08-10,353776
2014-08-14,988782
2014-08-17,345495
2014-08-21,814070
2014-08-24,629074
2014-08-28,845235
2014-08-31,259576
2014-09-04,411794
2014-09-07,289530
2014-09-14,647040
2014-09-18,037854
2014-09-21,966721
2014-09-25,792696
2014-09-28,320938
2014-10-02,129177
2014-10-05,770990
2014-10-09,435391
2014-10-12,824050
2014-10-16,242195
2014-10-19,064387
2014-10-23,550318
2014-10-26,938435
2014-10-30,903509
2014-11-02,435266
2014-11-06,581956
2014-11-09,903256
2014-11-13,002684
2014-11-16,784897
2014-11-20,202769
2014-11-23,635754
2014-11-27,390759
2014-11-30,663594
2014-12-04,774127
2014-12-07,465869
2014-12-11,992574
2014-12-14,885304
2014-12-18,035513
2014-12-21,078043
2014-12-30,365543
2015-01-11,958545
2015-01-15,381449
2015-01-18,296307
2015-01-22,467284
2015-01-25,976817
2015-01-29,056526
2015-02-01,101332
2015-02-05,940217
2015-02-08,903867
2015-02-12,118111
2015-02-15,655810
2015-02-19,440040
2015-02-22,544537
2015-02-26,898360
2015-03-01,945472
2015-03-05,696938
2015-03-08,245347
2015-03-12,655199
2015-03-15,596633
2015-03-19,526819
2015-03-22,523048
2015-03-26,884696
2015-03-29,723326
2015-04-02,673336
2015-04-05,568476
2015-04-09,617876
2015-04-12,016295
2015-04-16,059949
2015-04-19,358440
2015-04-23,360957
2015-04-26,788783
2015-04-30,391937
2015-05-03,633045
2015-05-07,130379
2015-05-10,567054
2015-05-14,076428
2015-05-17,657701
2015-05-21,722905
2015-05-24,039390
2015-05-28,729213
2015-05-31,051050
2015-06-04,969536
2015-06-07,669122
2015-06-11,062942
2015-06-14,398175
