Data	Nr Castigatori	Valoare Castig
19.10.2025	1	780.639,80
14.09.2025	1	247.107,00
07.09.2025	1	1.441.631,20
10.07.2025	1	183.441,00
29.06.2025	1	263.290,00
15.06.2025	1	1.242.804,60
27.04.2025	1	1.177.692,00
13.03.2025	2	179.936,80
27.02.2025	1	468.431,00
06.02.2025	1	322.564,00
19.01.2025	1	343.417,60
31.12.2024	2	247.859,40
19.12.2024	1	57.368,80
15.12.2024	1	131.262,40
08.12.2024	2	875.871,50
26.09.2024	1	1.189.257,60
28.07.2024	1	97.808,80
21.07.2024	1	779.948,20
06.06.2024	1	139.942,40
26.05.2024	2	174.379,60
04.05.2024	1	530.851,20
11.04.2024	1	120.574,40
04.04.2024	1	1.289.971,20
11.02.2024	1	240.521,60
28.01.2024	1	239.171,20
14.01.2024	1	707.116,80
17.12.2023	1	59.133,60
14.12.2023	1	768.931,20
26.10.2023	1	1.056.551,40
24.08.2023	1	584.815,20
13.07.2023	1	731.601,00
21.05.2023	1	395.070,40
23.04.2023	2	495.220,00
26.02.2023	2	1.193.209,50
27.10.2022	1	334.584,80
25.09.2022	1	914.852,60
17.07.2022	1	595.631,00
29.05.2022	1	112.738,20
19.05.2022	1	142.987,20
05.05.2022	1	69.101,40
28.04.2022	1	141.041,60
23.04.2022	1	494.664,60
13.03.2022	1	178.902,80
06.03.2022	1	460.745,20
03.02.2022	1	188.960,40
20.01.2022	1	94.292,40
13.01.2022	1	131.161,20
31.12.2021	1	1.530.632,20
03.10.2021	1	332.832,20
12.09.2021	1	376.670,40
12.08.2021	1	613.029,00
27.06.2021	2	225.133,50
23.05.2021	1	1.188.462,80
07.03.2021	1	257.445,80
21.02.2021	1	95.643,00
18.02.2021	1	37.309,80
14.02.2021	1	841.393,60
31.12.2020	2	126.659,00
13.12.2020	1	845.724,40
24.09.2020	1	895.746,80
16.07.2020	1	1.294.443,80
23.01.2020	1	212.993,40
05.01.2020	1	456.677,20
19.12.2019	1	580.611,80
14.11.2019	1	349.914,40
20.10.2019	1	1.024.963,40
18.08.2019	3	14.901,80
15.08.2019	1	842.770,60
16.06.2019	1	127.864,20
06.06.2019	2	81.063,00
23.05.2019	3	92.268,20
27.04.2019	1	312.493,40
07.04.2019	1	542.937,00
24.02.2019	1	130.098,60
14.02.2019	2	102.555,60
27.01.2019	1	166.348,80
13.01.2019	1	1.490.953,40
28.10.2018	1	435.205,60
23.09.2018	1	599.762,80
05.08.2018	1	126.811,20
22.07.2018	1	410.219,20
14.06.2018	2	110.673,60
20.05.2018	1	128.558,80
06.05.2018	2	18.475,20
03.05.2018	1	570.531,60
18.03.2018	1	40.481,60
15.03.2018	1	381.906,00
15.02.2018	1	583.157,20
31.12.2017	1	351.001,84
14.12.2017	1	241.181,44
23.11.2017	1	633.292,40
28.09.2017	1	164.020,48
17.09.2017	3	11.116,90
10.09.2017	1	150.813,12
24.08.2017	1	496.474,24
09.07.2017	1	30.513,60
06.07.2017	1	504.661,76
14.05.2017	1	752.832,64
12.03.2017	1	60.561,92
05.03.2017	1	289.852,80
09.02.2017	1	197.914,56
19.01.2017	1	57.994,88
12.01.2017	1	615.423,04
27.11.2016	1	90.553,28
17.11.2016	1	204.410,56
23.10.2016	1	311.142,40
22.09.2016	1	719.190,72
24.07.2016	1	283.389,12
23.06.2016	1	142.968,96
05.06.2016	1	816.190,72
03.04.2016	1	91.106,88
24.03.2016	1	265.445,12
06.03.2016	2	177.304,00
31.01.2016	2	32.597,60
24.01.2016	1	415.897,92
30.12.2015	2	181.556,00
19.11.2015	1	54.615,04
12.11.2015	1	20.126,40
08.11.2015	1	339.400,72
08.10.2015	1	520.105,28
27.08.2015	1	122.211,84
13.08.2015	1	391.458,56
02.07.2015	1	190.616,96
11.06.2015	1	360.851,84
03.05.2015	1	29.478,40
30.04.2015	1	311.503,68
12.04.2015	1	31.124,48
09.04.2015	1	72.304,00
02.04.2015	1	488.195,84
26.02.2015	2	72.495,04
12.02.2015	1	366.472,64
11.01.2015	1	44.014,72
30.12.2014	2	145.651,04
14.12.2014	1	188.558,08
27.11.2014	1	96.957,12
16.11.2014	1	114.565,76
06.11.2014	1	199.339,12
26.10.2014	1	136.279,68
12.10.2014	1	98.255,04
02.10.2014	1	88.773,76
21.09.2014	1	257.588,80
07.09.2014	1	133.493,12
24.08.2014	1	203.456,64
03.08.2014	1	421.418,24
22.06.2014	1	495.691,52
08.05.2014	1	524.043,52
30.03.2014	1	62.215,68
23.03.2014	1	467.552,96
09.02.2014	2	32.059,84
02.02.2014	2	150.046,56
05.01.2014	1	721.232,00
17.11.2013	1	206.119,68
27.10.2013	1	61.521,28
20.10.2013	2	354.332,32
29.08.2013	1	318.768,32
01.08.2013	1	73.566,40
25.07.2013	1	187.952,96
11.07.2013	1	90.877,76
04.07.2013	1	433.412,48
02.06.2013	1	313.593,92
09.05.2013	1	1.057.070,08
03.03.2013	2	113.276,00
14.02.2013	1	123.005,76
03.02.2013	1	282.915,20
13.01.2013	1	40.362,88
10.01.2013	1	320.388,48
23.12.2012	1	117.584,96
13.12.2012	1	273.722,24
18.11.2012	1	121.703,04
