data,nr_castigatori,valoare_castig
2005-03-27,1,9.737.271
2005-06-05,1,17.381.610
2005-08-14,1,8.514.148
2005-10-02,2,4.225.325
2006-01-01,1,17.730.355
2006-02-05,1,4.893.062
2006-06-18,1,14.712.583
2006-07-09,1,1.567.314
2006-10-01,1,7.114.640
2007-01-14,1,10.470.492
2007-03-25,1,11.552.266
2007-04-08,1,9.880.604
2007-05-06,1,5.668.783
2007-08-26,1,34.227.789
2008-01-27,1,46.931.797
2008-05-25,2,14.612.299
2008-08-10,1,13.319.796
2008-11-09,2,9.440.935
2008-12-07,1,3.414.107
2008-12-14,1,1.131.529
2009-06-07,1,46.171.670
2009-12-24,1,40.176.609
2010-01-17,1,3.723.299
2010-03-07,1,7.156.255
2010-08-29,1,26.290.040
2010-09-12,1,1.482.576
2010-10-03,1,3.034.602
2010-10-10,3,249.352
2010-10-24,1,1.739.344
2011-04-24,1,41.997.089
2011-11-13,1,31.510.612
2012-01-05,1,9.804.041
2012-04-01,1,12.122.935
2012-08-19,1,20.283.270
2012-10-14,1,5.078.377
2012-11-15,1,2.862.591
2013-07-14,1,48.952.706
2013-09-15,1,11.371.103
2013-11-28,1,8.782.582
2013-12-22,1,3.014.025
2013-12-30,1,1.899.025
2014-02-02,1,3.453.678
2014-12-21,1,43.810.458
2015-04-05,1,13.435.030
2015-12-30,2,16.161.917
2016-01-21,1,1.822.305
2016-07-28,1,17.723.482
2017-01-22,1,16.693.565
2017-01-29,1,715.075
2017-05-11,1,10.286.597
2017-08-31,1,11.906.912
2017-10-08,1,4.604.988
2017-12-03,1,6.372.850
2018-02-11,1,9.325.973
2018-04-08,1,6.613.179
2018-04-15,1,1.375.546
2018-07-19,1,9.720.865
2018-12-02,1,17.347.829
2019-05-12,1,22.265.937
2019-06-02,1,2.898.134
2019-07-18,1,4.651.706
2019-12-22,1,22.954.442
2019-12-31,1,3.737.765
2020-03-01,1,8.199.947
2020-08-16,1,7.701.195
2020-09-13,1,3.375.310
2020-12-06,1,7.130.807
2021-02-07,1,8.420.611
2021-06-03,1,14.307.599
2021-06-27,1,2.797.744
2021-08-12,1,4.434.971
2021-10-21,1,7.646.117
2021-12-12,1,5.606.404
2022-03-27,1,14.823.497
2022-06-02,1,8.496.320
2022-11-03,1,19.198.843
2023-06-25,1,50.096.011
2023-09-17,1,13.829.095
2024-02-25,1,36.450.832
2024-04-11,1,9.646.132
2024-04-28,1,3.610.326
2024-11-14,1,47.703.321
2024-12-01,1,4.511.066
2024-12-08,1,1.622.010
2024-12-12,1,519.397
2025-03-30,1,31.567.186
2025-05-11,1,10.046.415
2025-11-09,1,49.149.676
