data,nr_castigatori,valoare_castig
2005-01-27,1,1.638.517
2005-07-14,1,2.648.787
2006-05-25,1,5.312.611
2007-12-20,1,8.654.429
2008-09-25,1,4.795.127
2010-01-14,1,6.599.562
2010-07-01,1,2.557.666
2010-08-01,1,890.868
2011-10-30,1,8.050.920
2012-12-23,1,13.258.464
2013-05-30,1,4.615.994
2014-10-16,1,16.845.971
2015-06-28,1,8.024.901
2016-11-13,1,15.199.876
2018-08-02,1,20.573.472
2018-10-14,1,3.840.971
2019-10-27,1,17.763.419
2022-03-06,1,33.201.347
2022-04-23,1,3.232.736
2023-02-26,1,19.646.531
2024-03-14,1,29.133.971
2024-09-15,1,11.845.622
2024-09-15,1,11.845.622
2024-09-15,1,11.845.622
# Test line
