data,nr_castigatori,valoare_castig
2006-05-07,1,234.652
2007-05-06,1,1.991.912
2007-09-30,1,1.274.803
2008-01-27,2,671.129
2008-02-24,1,169.070
2008-03-23,2,90.251
2008-05-18,1,509.331
2009-10-11,1,4.096.830
2009-11-15,1,286.287
2011-02-13,1,2.948.169
2011-02-24,1,69.044
2011-04-17,1,493.388
2011-11-27,1,1.231.843
2012-08-16,1,1.265.385
2013-05-19,1,1.544.937
2013-08-08,1,746.145
2013-11-17,1,452.548
2014-08-03,1,1.163.197
2015-12-30,1,2.577.453
2017-08-24,1,2.287.473
2018-05-27,1,1.006.653
2018-06-21,1,80.195
2019-09-01,1,2.082.484
2020-08-13,1,1.400.356
2025-05-11,1,12.519.657
2025-06-01,1,204.634
2025-06-29,1,285.518
2025-08-21,1,577.959
