data,nr_castigatori,valoare_castig
2022-12-31,1,90.636
2023-04-09,1,369.647
2023-06-18,2,109.266
2023-11-09,1,586.706
2023-12-21,1,184.603
2024-01-18,1,153.229
2024-03-07,1,284.197
2024-05-04,1,251.427
2024-07-11,1,281.044
2024-08-01,1,88.146
2024-08-11,1,47.262
2024-09-19,1,166.777
2024-10-20,2,60.415
2024-10-31,1,38.536
2024-12-15,1,205.716
2025-01-05,1,95.319
2025-01-19,1,72.561
2025-09-14,1,221.642
2025-08-17,1,1.439.819
2025-10-05,1,163.709
2025-10-23,1,135.121
2025-10-26,1,31.213
2025-12-14,1,474.932
2025-12-14,1,474.932
2025-12-14,1,474.932
