data,nr_castigatori,valoare_castig
2015-07-26,1,159.795
2015-12-13,1,92.346
2016-01-21,1,23.577
2016-03-10,1,35.640
2016-05-01,1,35.092
2016-05-22,1,14.824
2016-09-18,1,81.571
2016-10-23,1,24.807
2017-02-02,1,66.662
2017-06-08,1,91.638
2017-08-06,1,40.616
2018-04-12,1,179.033
2019-07-07,1,371.134
2020-01-05,1,154.629
2020-01-23,1,14.872
2020-07-30,1,78.302
2020-10-22,1,64.456
2021-02-04,1,73.370
2021-09-30,1,221.746
2022-01-27,1,103.625
2022-07-17,1,116.538
2023-03-09,1,144.889
2023-04-20,1,24.465
2023-07-16,1,48.739
2023-12-24,1,103.265
2024-03-17,1,75.420
2024-09-29,1,168.191
2024-12-15,1,74.910
2025-03-09,1,81.763
2025-03-13,1,3.064
2025-04-24,1,43.244
2025-10-09,1,239.512
2025-10-09,1,239.512
